Variable;Varianza_Norm;Rank_Varianza;Importancia_PCA;Rank_PCA;Laplacian_Inv;Rank_Laplacian;Score_Compuesto
CARACTERIZACIÓN DEL PROYECTO_REGION ENTIDAD QUE MÁS APORTA RECURSOS;0.13023491771480863;9;0.10283767769418502;27;1059564.6822140072;9;15.0
APROBACIÓN DEL PROYECTO_APROBACIONES POR GOBIERNO;0.1316545340952386;8;0.118310448076662;19;1678166.2344491624;6;11.0
ENTIDAD EJECUTORA DEL PROYECTO_CAPACIDAD INSTITUCIONAL;0.13313695553343713;7;0.14407822803996467;4;30788.3451920817;31;14.0
CARACTERIZACIÓN DEL PROYECTO_ESTADO DETALLE;0.14405720210973982;6;0.14804000178650562;2;221403.9032587276;24;10.666666666666666
CARACTERIZACIÓN DEL PROYECTO_ESTADO GENERAL;0.14865119698093643;5;0.14665759748407586;3;635524.7415436327;16;8.0
CARACTERIZACIÓN DEL PROYECTO_SECTOR;0.1507058758188993;4;0.11712841708138268;21;1282511.6023630227;8;11.0
APROBACIÓN DEL PROYECTO_FECHA DE PUBLICACIÓN DE ACTO DE APROBACIÓN;0.0024576511705031692;33;0.1312106420149826;12;1523978.4794034478;7;17.333333333333332
CARACTERIZACIÓN DEL PROYECTO_PROYECTO TIPO;0.0039966711597047766;32;0.08463258987880158;32;9999998337.826347;1;21.666666666666668
OTRAS VARIABLES DEL PROYECTO_PROYECTOS OBRAS DE INF. FÍSICA EN IPES;0.004276913084427589;31;0.09225775825645478;28;9999996625.042881;2;20.333333333333332
CARACTERIZACIÓN DEL PROYECTO_DECISIÓN MOTIVADA DE NO CONTINUIDAD;0.005703662622210481;30;0.08632903408531796;30;49683.33284906084;29;29.666666666666668
CARACTERIZACIÓN DEL PROYECTO_RANGO VALOR SGR;0.18180106461806672;3;0.1284316154657398;13;399617.3921765707;20;12.0
OTRAS VARIABLES DEL PROYECTO_PROYECTOS REACTIVACIÓN ECONÓMICA;0.008405820357902237;29;0.10986067916034874;24;28679.55565925671;32;28.333333333333332
CARACTERIZACIÓN DEL PROYECTO_CODIGO ENTIDAD TERRITORIAL QUE APORTA MÁS RECURSOS;0.010351122509035748;28;0.13334228277188348;10;138170.98310611828;26;21.333333333333332
EJECUCIÓN DEL PROYECTO_PROYECTO CON TODOS LOS CONTRATOS SUSPENDIDOS;0.014231813922530614;27;0.11267893591612549;23;106323.77212630514;28;26.0
EJECUCIÓN DEL PROYECTO_RANGO AVANCE FISICO;0.015366003252403424;26;0.13186627149617128;11;543072.6419255841;17;18.0
EJECUCIÓN DEL PROYECTO_RANGO AVANCE FINANCIERO;0.017606739680460455;25;0.13448566387888392;9;3534064.052304531;4;12.666666666666666
EJECUCIÓN DEL PROYECTO_AVANCE FINANCIERO;0.01800766478192639;24;0.15256606533791042;1;6684164.419071442;3;9.333333333333334
EJECUCIÓN DEL PROYECTO_FECHA ACTA INICIO;0.02451763534868406;23;0.12425331319819814;14;839791.1840077175;13;16.666666666666668
ENTIDAD EJECUTORA DEL PROYECTO_TIPO EJECUTOR;0.025003620839620006;22;0.13460064362573365;8;35187.52724108718;30;20.0
APROBACIÓN DEL PROYECTO_TIPO DE INSTANCIA INICIAL;0.03096064037862299;21;0.13575610408658254;7;907741.5790753891;11;13.0
CARACTERIZACIÓN DEL PROYECTO_FASE DEL PROYECTO;0.038512637393566564;20;0.11772602687079854;20;821009.0281465288;14;18.0
EJECUCIÓN DEL PROYECTO_RANGO TOTAL PAGOS;0.18661296411601094;2;0.11948838953191865;18;132437.28384189488;27;15.666666666666666
ENTIDAD EJECUTORA DEL PROYECTO_TIPO EJECUTOR DETALLADO;0.04870830425786982;19;0.13908945422444546;5;5492.665020286658;33;19.0
CARACTERIZACIÓN DEL PROYECTO_FECHA ESTADO DETALLE PROYECTO;0.051915438755178435;18;0.12296321095316509;17;1046644.9071589019;10;15.0
CARACTERIZACIÓN DEL PROYECTO_IMPLEMENTACION ACUERDO PAZ;0.056792319690481825;17;0.10581482480867457;25;232672.79935351427;23;21.666666666666668
"CARACTERIZACIÓN DEL PROYECTO_DESTINO DE RECURSOS 
(Según la fase del proyecto)";0.06346606783597326;16;0.12311216159162305;16;484510.8311318005;19;17.0
CARACTERIZACIÓN DEL PROYECTO_DEPARTAMENTO ENTIDAD QUE MÁS APORTA RECURSOS;0.0799300129911731;15;0.08396354408572582;33;262774.2564267191;21;23.0
ENTIDAD EJECUTORA DEL PROYECTO_DEPARTAMENTO EJECUTOR;0.08048767695125272;14;0.08553312375024744;31;259267.9589643338;22;22.333333333333332
ENTIDAD EJECUTORA DEL PROYECTO_CÓDIGO EJECUTOR;0.08607969985916335;13;0.1389987623081459;6;506116.3528982582;18;12.333333333333334
EJECUCIÓN DEL PROYECTO_ÚLTIMO PERIODO CON REPORTE DE INFORMACIÓN;0.09708057629766818;12;0.12412083551680111;15;2413409.4968383694;5;10.666666666666666
ENTIDAD EJECUTORA DEL PROYECTO_DIGITO VERIFICACIÓN;0.10397570610292207;11;0.08816831687144047;29;213674.64149417882;25;21.666666666666668
EJECUCIÓN DEL PROYECTO_OFICINA REGIONAL;0.11576644275714217;10;0.10371257252448662;26;637314.035043712;15;17.0
APROBACIÓN DEL PROYECTO_LEY DE APROBACIÓN;0.24887243870228148;1;0.11575261418799238;22;896095.0840614657;12;11.666666666666666
